/home/debian/anaconda3/envs/jaxenv/bin/python /home/debian/PycharmProjects/PythonProject/WKLC-KWC_3D_Extension_ZigZag.py 
Placed 180/180 seeds.
Saved VTK at t = 0.350000, laser=(1.5625, 0.6250) to VTK/fields_000700.vtk
Saved VTK at t = 0.355000, laser=(1.5625, 0.6250) to VTK/fields_000710.vtk
Saved VTK at t = 0.360000, laser=(1.5625, 0.6250) to VTK/fields_000720.vtk
Saved VTK at t = 0.365000, laser=(1.5625, 0.6250) to VTK/fields_000730.vtk
Saved VTK at t = 0.370000, laser=(1.5625, 0.6250) to VTK/fields_000740.vtk
Saved VTK at t = 0.375000, laser=(1.5625, 0.6250) to VTK/fields_000750.vtk
Saved VTK at t = 0.380000, laser=(1.5625, 0.6250) to VTK/fields_000760.vtk
Saved VTK at t = 0.385000, laser=(1.5625, 0.6250) to VTK/fields_000770.vtk
Saved VTK at t = 0.390000, laser=(1.5625, 0.6250) to VTK/fields_000780.vtk
Saved VTK at t = 0.395000, laser=(1.5625, 0.6250) to VTK/fields_000790.vtk
Saved VTK at t = 0.400000, laser=(1.5625, 0.6250) to VTK/fields_000800.vtk
Saved VTK at t = 0.405000, laser=(1.5625, 0.6250) to VTK/fields_000810.vtk
Saved VTK at t = 0.410000, laser=(1.5625, 0.6250) to VTK/fields_000820.vtk
Saved VTK at t = 0.415000, laser=(1.5625, 0.6250) to VTK/fields_000830.vtk
Saved VTK at t = 0.420000, laser=(1.5625, 0.6250) to VTK/fields_000840.vtk
Saved VTK at t = 0.425000, laser=(1.5625, 0.6250) to VTK/fields_000850.vtk
Saved VTK at t = 0.430000, laser=(1.5625, 0.6250) to VTK/fields_000860.vtk
Saved VTK at t = 0.435000, laser=(1.5625, 0.6250) to VTK/fields_000870.vtk
Saved VTK at t = 0.440000, laser=(1.5625, 0.6250) to VTK/fields_000880.vtk
Saved VTK at t = 0.445000, laser=(1.5625, 0.6250) to VTK/fields_000890.vtk
Saved VTK at t = 0.450000, laser=(1.5625, 0.6250) to VTK/fields_000900.vtk
Saved VTK at t = 0.455000, laser=(1.5625, 0.6250) to VTK/fields_000910.vtk
Saved VTK at t = 0.460000, laser=(1.5625, 0.6250) to VTK/fields_000920.vtk
Saved VTK at t = 0.465000, laser=(1.5625, 0.6250) to VTK/fields_000930.vtk
Saved VTK at t = 0.470000, laser=(1.5625, 0.6250) to VTK/fields_000940.vtk
Saved VTK at t = 0.475000, laser=(1.5625, 0.6250) to VTK/fields_000950.vtk
Saved VTK at t = 0.480000, laser=(1.5625, 0.6250) to VTK/fields_000960.vtk
